-0.2; 1.4; 4.2
-0.2; 1.5; 4.59
-0.2; 1.6; 5
-0.2; 1.7; 5.43
-0.2; 1.8; 5.88
-0.2; 1.9; 6.35
-0.1; -1; 0.91
-0.1; -0.9; 0.82
-0.1; -0.8; 0.75
-0.1; -0.7; 0.7
-0.1; -0.6; 0.67
-0.1; -0.5; 0.66
-0.1; -0.4; 0.67
-0.1; -0.3; 0.7
-0.1; -0.2; 0.75
-0.1; -0.1; 0.82
-0.1; -1.38778e-16; 0.91
-0.1; 0.1; 1.02
-0.1; 0.2; 1.15
-0.1; 0.3; 1.3
-0.1; 0.4; 1.47
-0.1; 0.5; 1.66
-0.1; 0.6; 1.87
-0.1; 0.7; 2.1
-0.1; 0.8; 2.35
-0.1; 0.9; 2.62
-0.1; 1; 2.91
-0.1; 1.1; 3.22
-0.1; 1.2; 3.55
-0.1; 1.3; 3.9
-0.1; 1.4; 4.27
-0.1; 1.5; 4.66
-0.1; 1.6; 5.07
-0.1; 1.7; 5.5
-0.1; 1.8; 5.95
-0.1; 1.9; 6.42
-1.38778e-16; -1; 1
-1.38778e-16; -0.9; 0.91
-1.38778e-16; -0.8; 0.84
-1.38778e-16; -0.7; 0.79
-1.38778e-16; -0.6; 0.76
-1.38778e-16; -0.5; 0.75
-1.38778e-16; -0.4; 0.76
-1.38778e-16; -0.3; 0.79
-1.38778e-16; -0.2; 0.84
-1.38778e-16; -0.1; 0.91
-1.38778e-16; -1.38778e-16; 1
-1.38778e-16; 0.1; 1.11
-1.38778e-16; 0.2; 1.24
-1.38778e-16; 0.3; 1.39
-1.38778e-16; 0.4; 1.56
-1.38778e-16; 0.5; 1.75
-1.38778e-16; 0.6; 1.96
-1.38778e-16; 0.7; 2.19
-1.38778e-16; 0.8; 2.44
-1.38778e-16; 0.9; 2.71
-1.38778e-16; 1; 3
-1.38778e-16; 1.1; 3.31
-1.38778e-16; 1.2; 3.64
-1.38778e-16; 1.3; 3.99
-1.38778e-16; 1.4; 4.36
-1.38778e-16; 1.5; 4.75
-1.38778e-16; 1.6; 5.16
-1.38778e-16; 1.7; 5.59
-1.38778e-16; 1.8; 6.04
-1.38778e-16; 1.9; 6.51
0.1; -1; 1.11
0.1; -0.9; 1.02
0.1; -0.8; 0.95
0.1; -0.7; 0.9
0.1; -0.6; 0.87
0.1; -0.5; 0.86
0.1; -0.4; 0.87
0.1; -0.3; 0.9
0.1; -0.2; 0.95
0.1; -0.1; 1.02
0.1; -1.38778e-16; 1.11
0.1; 0.1; 1.22
0.1; 0.2; 1.35
0.1; 0.3; 1.5
0.1; 0.4; 1.67
0.1; 0.5; 1.86
0.1; 0.6; 2.07
0.1; 0.7; 2.3
0.1; 0.8; 2.55
0.1; 0.9; 2.82
0.1; 1; 3.11
0.1; 1.1; 3.42
0.1; 1.2; 3.75
0.1; 1.3; 4.1
0.1; 1.4; 4.47
0.1; 1.5; 4.86
0.1; 1.6; 5.27
0.1; 1.7; 5.7
0.1; 1.8; 6.15
0.1; 1.9; 6.62
0.2; -1; 1.24
0.2; -0.9; 1.15
0.2; -0.8; 1.08
0.2; -0.7; 1.03
0.2; -0.6; 1
0.2; -0.5; 0.99
0.2; -0.4; 1
0.2; -0.3; 1.03
0.2; -0.2; 1.08
0.2; -0.1; 1.15
0.2; -1.38778e-16; 1.24
0.2; 0.1; 1.35
0.2; 0.2; 1.48
0.2; 0.3; 1.63
0.2; 0.4; 1.8
0.2; 0.5; 1.99
0.2; 0.6; 2.2
0.2; 0.7; 2.43
0.2; 0.8; 2.68
0.2; 0.9; 2.95
0.2; 1; 3.24
0.2; 1.1; 3.55
0.2; 1.2; 3.88
0.2; 1.3; 4.23
0.2; 1.4; 4.6
0.2; 1.5; 4.99
0.2; 1.6; 5.4
0.2; 1.7; 5.83
0.2; 1.8; 6.28
0.2; 1.9; 6.75
0.3; -1; 1.39
0.3; -0.9; 1.3
0.3; -0.8; 1.23
0.3; -0.7; 1.18
0.3; -0.6; 1.15
